UPC,Item Description,Department ID,Department Name,Department Type,Cost,Retail Price
00000000253,Southern Pallet All Purpo,56,Operating Supplies,Other Services,0.00,0.25
00000000505,Icee Syrup Cherry Snow,56,Operating Supplies,Other Services,0.00,0.50
00007932519,SMUCK 9 LVS CTFD BFCHCKN 5.5Z EA,46,Non-Edible Grocery,Inside Sales,0.79,1.79
00120000113,SNYSKY MTN DEW FREEZE FCB 5G CS,56,Operating Supplies,Other Services,103.22,65.12
00120024115,HMRKT ROLLERBITE CHEESEBURGER 2.5Z EA,40,Food Service Onsite,Other Services,1.07,1.49
00701378398,BLACK AND MILD NICE JAZZ WOOD TIP EA,16,Cigars,Inside Sales,1.30,1.39
00733092002,HOME CITY ICE 22LB EA,50,Bagged Ice,Inside Sales,2.67,5.79
00842134011,TY MICKEY MOUSE CLIP EA,48,General Merchandise,Inside Sales,2.50,3.99
00842134012,TY MINNIE MOUSE CLIP EA,48,General Merchandise,Inside Sales,2.50,3.99
00842135001,ty clip dumbo,48,General Merchandise,Inside Sales,2.50,3.99
00842135142,ty clip mask,48,General Merchandise,Inside Sales,2.50,3.99
00842135255,ty clip sheldon,48,General Merchandise,Inside Sales,2.50,3.99
00842135257,ty clip stilts,48,General Merchandise,Inside Sales,2.50,3.99
00842136006,ty beanie boos slush,48,General Merchandise,Inside Sales,2.50,5.99
00842136225,TY PHOENIX,48,General Merchandise,Inside Sales,3.50,5.99
00842136309,ty beanie boos spirit,48,General Merchandise,Inside Sales,2.50,5.99
00842136387,ty beanie boos tiggy,48,General Merchandise,Inside Sales,2.50,5.99
00842136390,ty beanie boos sheldon,48,General Merchandise,Inside Sales,2.50,5.99
00842136392,ty beanie boos turbo,48,General Merchandise,Inside Sales,2.50,5.99
00842136394,ty beanie boos stilts,48,General Merchandise,Inside Sales,2.50,5.99
00842136581,ty beanie boos fergus,48,General Merchandise,Inside Sales,2.50,5.99
00842137298,ty beanie boos charlotte,48,General Merchandise,Inside Sales,2.50,5.99
00842137359,ty beanie boos trunkles,48,General Merchandise,Inside Sales,2.50,5.99
00842137361,ty beanie boos spitfire,48,General Merchandise,Inside Sales,2.50,5.99
00842137362,ty beanie boos daphne,48,General Merchandise,Inside Sales,2.50,5.99
00842137363,ty beanie boos coco,48,General Merchandise,Inside Sales,2.50,5.99
00842139237,ty squishy beanies nessa,48,General Merchandise,Inside Sales,2.50,5.99
00842139240,ty squishaboos hildee,48,General Merchandise,Inside Sales,2.50,5.99
00842139241,ty squishy beanies dunston,48,General Merchandise,Inside Sales,2.50,5.99
00842139242,ty squishy beanies octavia,48,General Merchandise,Inside Sales,2.50,5.99
00842139295,ty squishaboos cooper,48,General Merchandise,Inside Sales,2.50,5.99
00842139296,ty squishaboos gilbert,48,General Merchandise,Inside Sales,2.50,5.99
00842139394,TY CHARLIE SQUISHIE,48,General Merchandise,Inside Sales,2.50,3.99
00842139396,ty squishy beanies turbo,48,General Merchandise,Inside Sales,2.50,5.99
00842139398,ty squishy beanies tootie,48,General Merchandise,Inside Sales,2.50,5.99
00842140596,ty beanie bellies wilfred,48,General Merchandise,Inside Sales,2.50,5.99
00842140925,ty beanie bellies mitch,48,General Merchandise,Inside Sales,2.50,5.99
