payment_uuid,transaction_id,authorization_code,cc_name,mop_amount,mop_code,payment_entry_method,payment_timestamp,payment_type,sales_transaction_unique_id
de4317d7-71b6-4a9d-8ceb-836373ef3382,1021119,918768,Debit,2.11,3,DEBIT,2025-06-05T09:39:13-05:00,sale,1726116964000-660040656-0001966456
125056ab-1386-423d-abcb-1367e9392b26,1016144,,,-2.10,1,Change,2025-06-05T19:46:16-05:00,sale,1726116964000-660040656-0001970297
eeb37b9e-4641-4867-9a70-3df1388dc75b,1016145,,,10.00,1,CASH,2025-06-05T19:47:12-05:00,sale,1726116964000-660040656-0001970306
20b6e79e-6340-441d-872e-b57032f5b6b9,9059393,915084,Visa,73.55,2,CREDIT,2025-06-05T19:48:14-05:00,sale,1726116964000-660040656-0001970314
dcf67020-a36c-4508-a320-cc96be5f2e20,9013152,34720,Visa,47.95,2,CREDIT,2025-06-05T19:48:10-05:00,sale,1726116964000-660040656-0001970315
52327c27-8fe1-4eee-a1c3-e0c50722e635,9060473,558871,Visa,20.50,2,CREDIT,2025-06-05T19:50:36-05:00,sale,1726116964000-660040656-0001970327
3beca16f-a848-41fc-a0e3-fd2f73729be3,1016146,,,20.00,1,CASH,2025-06-05T19:51:05-05:00,sale,1726116964000-660040656-0001970329
829efe87-73ad-4900-b1df-5a7a197e6ec4,9013153,,,20.00,1,CASH,2025-06-05T19:54:00-05:00,sale,1726116964000-660040656-0001970346
2ec6b097-3a56-4280-b508-93c415965e7f,1016146,,,20.00,1,CASH,2025-06-05T19:51:04-05:00,sale,1726116964000-660040656-0001970347
2199c2df-4eba-4ddd-9d7d-af69f1d5821a,1016147,491987,Debit,6.03,3,DEBIT,2025-06-05T19:54:32-05:00,sale,1726116964000-660040656-0001970349
37202824-9a94-462a-b6ef-f08bff30d23f,1016148,432857,Debit,15.00,3,DEBIT,2025-06-05T19:56:18-05:00,sale,1726116964000-660040656-0001970354
97c8155b-57f9-4618-aaa1-e3314edbd467,9030086,432857,Debit,15.00,3,DEBIT,2025-06-05T19:57:43-05:00,sale,1726116964000-660040656-0001970366
bb5358e6-6a10-4f9b-b57f-8b0f6f1ce3eb,1016148,432857,Debit,15.00,3,DEBIT,2025-06-05T19:56:18-05:00,sale,1726116964000-660040656-0001970367
93456abf-b67b-4eb6-b6be-cd33798af7c9,1016149,,,20.00,1,CASH,2025-06-05T19:58:29-05:00,sale,1726116964000-660040656-0001970368
989e4c8e-57ee-4a3b-9cc9-d13545228e69,1016149,,,-13.32,1,Change,2025-06-05T19:58:29-05:00,sale,1726116964000-660040656-0001970368
5c115746-6570-4d59-967c-7e19d70e04a4,9079569,195944,Visa,25.00,2,CREDIT,2025-06-05T19:59:30-05:00,sale,1726116964000-660040656-0001970377
1a5d153c-3350-4173-b87a-f86a13b5065d,1016150,14092,Debit,12.22,3,DEBIT,2025-06-05T20:01:43-05:00,sale,1726116964000-660040656-0001970391
5677f710-3940-4c25-8c63-afd2f156f7e6,9030087,865051,Debit,23.01,3,DEBIT,2025-06-05T20:01:31-05:00,sale,1726116964000-660040656-0001970393
1086a33f-c67a-48c7-95d8-e006d43cd123,1016151,255728,Visa,2.32,2,CREDIT,2025-06-05T20:02:18-05:00,sale,1726116964000-660040656-0001970396
cf48af77-2a57-44a1-93b6-24ecbd217cac,9013154,164,Visa,15.23,2,CREDIT,2025-06-05T20:02:14-05:00,sale,1726116964000-660040656-0001970401
5e1117f6-2ffd-4215-a699-9a99f829ffe6,1016152,,,2.00,1,CASH,2025-06-05T20:02:54-05:00,sale,1726116964000-660040656-0001970403
975e5a11-2b99-4508-a524-219e3ed97323,1016153,,,4.00,1,CASH,2025-06-05T20:08:25-05:00,sale,1726116964000-660040656-0001970425
1f750917-89ad-4279-8701-6c57a73eec05,9046868,100192,Visa,30.85,2,CREDIT,2025-06-05T20:09:00-05:00,sale,1726116964000-660040656-0001970434
