upc_id,department_id,upc_description,cost,retail_price,cost_avail_flag,retail_price_avail_flag,created_by,creation_date,modified_by,modified_date,upc_source
253,56,Southern Pallet All Purpo,0.00,0.25,N,Y,Gunjan,2025-07-17 21:30:16.326+05:30,,,pricebook
505,56,Icee Syrup Cherry Snow,0.00,0.50,N,Y,Gunjan,2025-07-17 21:30:16.337+05:30,,,pricebook
7932519,46,SMUCK 9 LVS CTFD BFCHCKN 5.5Z EA,0.79,1.79,Y,Y,Gunjan,2025-07-17 21:30:16.344+05:30,,,pricebook
120000113,56,SNYSKY MTN DEW FREEZE FCB 5G CS,103.22,65.12,Y,Y,Gunjan,2025-07-17 21:30:16.348+05:30,,,pricebook
120024115,40,HMRKT ROLLERBITE CHEESEBURGER 2.5Z EA,1.07,1.49,Y,Y,Gunjan,2025-07-17 21:30:16.354+05:30,,,pricebook
701378398,16,BLACK AND MILD NICE JAZZ WOOD TIP EA,1.30,1.39,Y,Y,Gunjan,2025-07-17 21:30:16.357+05:30,,,pricebook
733092002,50,HOME CITY ICE 22LB EA,2.67,5.79,Y,Y,Gunjan,2025-07-17 21:30:16.361+05:30,,,pricebook
842134011,48,TY MICKEY MOUSE CLIP EA,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.365+05:30,,,pricebook
842134012,48,TY MINNIE MOUSE CLIP EA,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.372+05:30,,,pricebook
842135001,48,ty clip dumbo,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.377+05:30,,,pricebook
842135142,48,ty clip mask,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.38+05:30,,,pricebook
842135255,48,ty clip sheldon,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.382+05:30,,,pricebook
842135257,48,ty clip stilts,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.384+05:30,,,pricebook
842136006,48,ty beanie boos slush,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.388+05:30,,,pricebook
842136225,48,TY PHOENIX,3.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.393+05:30,,,pricebook
842136309,48,ty beanie boos spirit,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.395+05:30,,,pricebook
842136387,48,ty beanie boos tiggy,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.397+05:30,,,pricebook
842136390,48,ty beanie boos sheldon,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.399+05:30,,,pricebook
842136392,48,ty beanie boos turbo,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.402+05:30,,,pricebook
842136394,48,ty beanie boos stilts,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.405+05:30,,,pricebook
842136581,48,ty beanie boos fergus,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.408+05:30,,,pricebook
842137298,48,ty beanie boos charlotte,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.411+05:30,,,pricebook
842137359,48,ty beanie boos trunkles,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.414+05:30,,,pricebook
842137361,48,ty beanie boos spitfire,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.416+05:30,,,pricebook
842137362,48,ty beanie boos daphne,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.419+05:30,,,pricebook
842137363,48,ty beanie boos coco,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.422+05:30,,,pricebook
842139237,48,ty squishy beanies nessa,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.425+05:30,,,pricebook
842139240,48,ty squishaboos hildee,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.428+05:30,,,pricebook
842139241,48,ty squishy beanies dunston,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.431+05:30,,,pricebook
842139242,48,ty squishy beanies octavia,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.434+05:30,,,pricebook
842139295,48,ty squishaboos cooper,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.437+05:30,,,pricebook
842139296,48,ty squishaboos gilbert,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.44+05:30,,,pricebook
842139394,48,TY CHARLIE SQUISHIE,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.443+05:30,,,pricebook
842139396,48,ty squishy beanies turbo,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.445+05:30,,,pricebook
842139398,48,ty squishy beanies tootie,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.448+05:30,,,pricebook
842140596,48,ty beanie bellies wilfred,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.453+05:30,,,pricebook
842140925,48,ty beanie bellies mitch,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.455+05:30,,,pricebook
842141036,48,ty beanie bellies stubby,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.458+05:30,,,pricebook
842141098,48,ty sparkle mickey mouse,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.461+05:30,,,pricebook
842141099,48,ty sparkle minnie mouse,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.464+05:30,,,pricebook
842141150,48,ty sparkle dumbo,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.467+05:30,,,pricebook
842141189,48,ty beanies captain america,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.47+05:30,,,pricebook
842141197,48,ty beanie babies black panther,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.473+05:30,,,pricebook
842141263,48,ty sparkle simba,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.476+05:30,,,pricebook
842141284,48,ty beanie bellies petey,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.479+05:30,,,pricebook
842141333,48,ty beanie baby foster,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.482+05:30,,,pricebook
842141344,48,TY GUS PENGUIN REG EA,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.485+05:30,,,pricebook
842141510,48,ty beanie bellies alex,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.488+05:30,,,pricebook
842141511,48,ty beanie bellies stella,2.50,5.99,Y,Y,Gunjan,2025-07-17 21:30:16.491+05:30,,,pricebook
842142497,48,ty beanie balls mickey mouse,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.494+05:30,,,pricebook
842142499,48,ty beanie balls stitch,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.497+05:30,,,pricebook
842142509,48,ty puffies muffin,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.5+05:30,,,pricebook
842142515,48,ty puffies echo,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.502+05:30,,,pricebook
842142526,48,ty beanie balls bamboo,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.506+05:30,,,pricebook
842142530,48,ty beanie balls hastie,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.509+05:30,,,pricebook
842142535,48,ty beanie balls izzy,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.513+05:30,,,pricebook
842142536,48,ty beanie balls zinger,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.516+05:30,,,pricebook
842142537,48,ty beanie balls evie,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.518+05:30,,,pricebook
842142542,48,ty beanie balls sherbet,2.50,3.90,Y,Y,Gunjan,2025-07-17 21:30:16.521+05:30,,,pricebook
842142543,48,ty beanie balls whodini,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.523+05:30,,,pricebook
842142568,48,ty beanie balls spider-man,2.50,3.99,Y,Y,Gunjan,2025-07-17 21:30:16.526+05:30,,,pricebook
