line_item_promo_uuid,promotion_id,line_item_uuid,match_price,match_quantity,mix_group_id,promo_amount,promotion_name,promotion_type
1557d7bd-eda9-4b0b-80df-999c839cb436,3,e4662f23-ae76-4f84-871c-2d3a7713e3aa,2.75,1,100,0.34,Pepsi 1L Q1 2025,mixAndMatchOffer
bd09da2f-a9c6-4e8c-ba31-73611dcf224c,3,5cd58673-787e-4b49-a234-db7fa837c380,2.75,1,100,0.34,Pepsi 1L Q1 2025,mixAndMatchOffer
c1311534-113a-49d4-941e-276a3440e56d,25,e8c068b0-41b5-473a-9f10-66a8d54b57a5,45.08,4,100,3.56,RCI Altria Marlboro Buy 4 July 2024,mixAndMatchOffer
a5bd5aac-f49f-4339-aff7-4cfb67a7a9cd,38,9dea0826-6f7d-4660-92c6-9b96ef512d3b,3.00,1,100,0.49,RCI Monster 16Z,mixAndMatchOffer
83db1831-5d44-42a1-9ce5-2dd0e1137e27,38,966d26ab-e215-4f49-aa55-08db01aa813d,3.00,1,100,0.49,RCI Monster 16Z,mixAndMatchOffer
525311c5-ca15-49d3-a0d3-3bd60532c456,44,6113789a-f6a9-4ac6-b621-1509fa81aa7a,12.11,1,100,0.50,Buy 2 Save 1 Copenhagen,mixAndMatchOffer
b3d4e2bf-1ee6-4083-a806-5c0e3498d937,44,ecfcbd99-947c-43e7-9663-0665771ed7e9,12.11,1,100,0.50,Buy 2 Save 1 Copenhagen,mixAndMatchOffer
b4d92761-d7ab-490d-894a-685fa4df5dc9,1,a5cd81fa-0e4e-453c-af0f-4f9db44053c9,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
ffb4a36c-6e18-4396-aa68-65f504432d3d,1,abc3b55e-7d2a-4adc-bbb1-4b8e6dc4b0a7,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
2ded07a8-7e98-423d-95f6-04234448b467,,2855e837-9919-4717-8062-512c0cc466e1,,,,,,""
51359b01-ec01-47c5-92cb-2fdceaf25fd1,38,8ddd0b3e-d124-4513-acfe-8cf59d1aa702,3.00,1,100,0.49,RCI Monster 16Z,mixAndMatchOffer
c8c49f75-d134-4adb-814a-297a7ace9504,38,f128e841-6a23-4f66-a2a7-d3ffb1770460,3.00,1,100,0.49,RCI Monster 16Z,mixAndMatchOffer
81509104-de4a-4a7b-b145-f32b0de16d30,38,39be4e0a-55f7-44af-8f81-c56ba3b79c9f,3.00,1,100,0.49,RCI Monster 16Z,mixAndMatchOffer
47d9696a-cd73-4f31-a076-03f92c7a760f,38,d774eb91-54a0-4d02-a667-6c4dfad4cdb4,3.00,1,100,0.49,RCI Monster 16Z,mixAndMatchOffer
419f9d16-2939-402e-9974-ae79759b8448,38,ee766d4d-ebac-4fbc-9076-47698607ac6a,3.00,1,100,0.49,RCI Monster 16Z,mixAndMatchOffer
8407e0ae-d0f3-43d6-a6c9-9c8c03d82b44,38,f04d5262-2303-4151-aed8-5fcf53ec7fba,3.00,1,100,0.49,RCI Monster 16Z,mixAndMatchOffer
f8c46572-398e-4663-996b-31397dee54cd,2,92388bdb-c032-4791-a4e5-4c09a9ac3ecd,2.75,1,100,0.34,2024 Red Bull 8z,mixAndMatchOffer
dcc1d04a-6697-448d-bd68-dedb72c46ca6,2,66034544-0146-475c-856d-a6a92d75e357,2.75,1,100,0.34,2024 Red Bull 8z,mixAndMatchOffer
ac97c6a3-b1e1-46ce-bb52-061c48d9245b,13,8bdf1a3c-84d6-46be-a355-5a36054282b3,2.25,1,100,0.44,Pepsi 20z Q1 2025,mixAndMatchOffer
6faafc69-748b-4b42-ae6e-fa75f2430dfd,13,db66acfb-5080-4bcd-b692-05ac032856eb,2.25,1,100,0.44,Pepsi 20z Q1 2025,mixAndMatchOffer
bcbae3cc-46ea-4673-9da1-9e29ff117647,24,b12ad921-a559-4f4d-928f-0b1d538eb951,11.26,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
2629b32e-5ec1-4e66-a47e-2f9de7dbcf34,24,c81c7bf6-3f85-4a4a-8e72-5d75484541c2,11.26,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
b8eb8ed8-b553-4385-b7bf-84d444f3951e,1,d6ebb96f-1d35-4665-89ec-f59f48e6caf7,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
0e5a851c-b43e-4e04-bb71-e9f94b921db8,1,3f70459e-8f48-4044-9a28-6dde88da4e33,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
218d181b-ab94-4c14-aa36-6f33602a1953,24,826b117e-d78e-4958-b025-3ec1a78e6709,11.55,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
5829bb5c-60eb-4fa1-94fb-2de2b4f5d243,24,17072e5e-5aab-4d1a-8885-bca5c00f994d,11.55,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
0db56aec-2ad5-4ec9-a281-e54afb2ecacd,29,17c2d3c5-6ded-4ada-af3b-47e5387cf18c,1.75,1,101,0.24,RCI Coke 16z,mixAndMatchOffer
ea01b825-fc83-4d88-9590-5796a4949d1b,29,284d15fe-4e89-405f-ae7f-4cf53a99ef5e,1.75,1,101,0.24,RCI Coke 16z,mixAndMatchOffer
31dcb69f-8219-4693-bea5-3f33211996ca,1,74bddaf0-b09f-4106-b334-c222ce6a300b,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
cb9747fa-d4bc-45b7-85ab-1e024085c971,1,aa66adc9-b989-4f72-8139-7d1fe9ef843c,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
d630c8a4-52a6-4083-8294-28979c11d550,1,7c75a8d3-16a7-42e7-ace4-699198c3a6b2,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
f6f980ba-52f0-4301-8230-e45ef6518bec,1,ca10be1d-2b97-4e8f-b612-d7de6c778003,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
bfbe67b2-d9dd-4ee3-880c-2d50049c3f12,24,e139f045-fe60-45ea-a574-7f5f22bd4ae1,11.26,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
c41bb1aa-2b42-4d78-95f0-26b1c2dfee6c,24,ef34acc9-109e-4bee-bb78-773470acc6c4,11.26,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
eb3fed95-1be6-41eb-94a9-a7e99da6ed17,1,0a56a47b-5111-4468-842a-7cfaa94ab7f2,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
c6ae2802-0cb0-4772-bb8c-81abc0a21490,1,740cc0f5-c7e6-4b64-a1a1-dab5421b792b,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
3564ff18-3fb3-48e2-971c-a2cd57929ebb,1,a8a3685f-54d1-487f-8eac-4115981f1749,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
8533440b-d013-4101-a11e-70995b65362c,1,f2b76290-4ea2-452c-b68b-063b14d10a11,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
59471e97-f585-4330-bf8c-9164d0b30719,13,1d2ec869-0b00-4aa6-9735-fc5c5feddd09,2.25,1,100,0.44,Pepsi 20z Q1 2025,mixAndMatchOffer
223a997c-e2f0-4eb0-bb13-5bb25bbd622e,13,31c66358-18bd-45e3-8ce7-90aafe24753a,2.25,1,100,0.44,Pepsi 20z Q1 2025,mixAndMatchOffer
650e1b42-3231-479d-b3d5-bb2a8937cad2,38,97b0b432-2c2e-4d3c-ac82-52131cd4975b,3.00,1,100,0.49,RCI Monster 16Z,mixAndMatchOffer
