promotion_id,upc_id,is_active
65,52000135282,t
23,28200003843,t
65,52000135152,t
65,52000135190,t
14,90500000594,t
14,90500000860,t
13,98000100127,t
13,12000384196,t
14,43300108991,t
1,611269001921,t
1,611269002706,t
56,90478410036,t
7,889392010176,t
65,52000135176,t
32,815154020008,t
25,12000220920,t
65,52000042320,t
14,28200309822,t
7,889392010015,t
27,49000006582,t
14,26100006575,t
14,43300187170,t
7,889392001549,t
14,26100005738,t
31,49000024708,t
14,26100005752,t
17,12000151095,t
37,70847891857,t
27,49000006346,t
14,12300000079,t
63,876063002813,t
1126,83046453375,t
14,26100005769,t
13,12000101908,t
9,78000013528,t
9,12000064494,t
1,611269113570,t
27,49000001327,t
21,29000022157,t
13,12000202384,t
14,90500000938,t
23,28200004017,t
9,78000013283,t
9,12000009105,t
3,12000003189,t
3,12000171758,t
64,52000707786,t
64,52000002973,t
23,28200004710,t
14,47995855093,t
48,77449506035,t
28,191088113642,t
14,27200001859,t
9,12000005596,t
17,12000004520,t
23,28200004772,t
2,611269001945,t
2,611269001624,t
7,889392000900,t
7,889392001327,t
68,611269546026,t
7,889392000917,t
7,889392003628,t
2,611269163452,t
14,12300327909,t
9,12000001314,t
7,889392021394,t
9,12000221514,t
9,78000013696,t
63,876063002806,t
63,52000051179,t
27,49000042566,t
11,12000202384,t
1,611269818994,t
12,12000001314,t
1,611269001303,t
27,28200003577,t
32,49000024685,t
37,70847811169,t
37,70847012474,t
1153,49000079357,t
41,855022005232,t
25,28200003843,t
28,49000006346,t
64,52000102413,t
14,12300000031,t
10,12000180323,t
64,52000135084,t
64,52000135190,t
12,12000064494,t
12,12000240805,t
12,12000171741,t
64,52000043143,t
64,52000057980,t
64,52000063172,t
2,611269991000,t
11,12000384196,t
11,12000567490,t
64,52000010282,t
23,811374039691,t
64,52000058024,t
64,52000104103,t
12,12000001345,t
32,49000024708,t
37,70847027324,t
7,889392001709,t
1,611269002768,t
30,83046000111,t
26,28200003843,t
27,28200003843,t
32,49000024692,t
24,818094005791,t
43,73100008924,t
23,811374039707,t
20,12000028472,t
64,52000042313,t
20,12000038488,t
20,12000221767,t
11,12000101908,t
27,28200002648,t
14,47995855055,t
28,49000042566,t
39,786162338006,t
14,12300200608,t
14,90500000532,t
2,611269101713,t
31,49000024685,t
42,855022005324,t
21,29000022096,t
38,49000079371,t
14,90500000907,t
10,12000110467,t
10,12000110443,t
65,52000135145,t
65,52000135138,t
65,52000135169,t
