line_item_promo_uuid,promotion_id,line_item_uuid,match_price,match_quantity,mix_group_id,line_item_promo_amount,promotion_name,promotion_type
2adcd7d7-4627-466f-a39a-acb909259c4c,28,27f37666-b4fc-42df-9607-c9d251e98106,1.25,1,100,0.34,RCI Donuts 2 for 250,mixAndMatchOffer
c8190609-2a33-4199-be4d-480da318e25d,28,34183839-f610-4f1b-a3bd-04694c363356,1.25,1,100,0.34,RCI Donuts 2 for 250,mixAndMatchOffer
3bfb3ef4-ff9d-41fe-b528-5ca17e0a59c6,65,8f16cd20-45eb-4c96-b90c-7f96a118cccb,2.00,1,100,1.59,Pepsi Gatorade 28z Q2 2025,mixAndMatchOffer
09cda9cf-5862-4be8-baf5-884c4fb3be07,65,55e1d3b6-62fd-4de6-bc85-e3a3dfe54286,2.00,1,100,1.59,Pepsi Gatorade 28z Q2 2025,mixAndMatchOffer
f7a6ac7f-5032-4254-b2dd-5cac4f25de05,65,f36d3f44-a765-44d8-b902-c1ce323358da,2.00,1,100,1.59,Pepsi Gatorade 28z Q2 2025,mixAndMatchOffer
dfb00ecd-5fbb-49fb-88b8-9fc64cadda00,23,36fb993c-6294-4ebf-add7-8c0d57b5ec21,11.50,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
bf2e409a-00de-4760-9325-e9a93d89a02f,23,2f45b715-e73e-45ae-9da0-631c0def70ca,11.50,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
772e1bf8-be81-4fe7-b01e-a0795cadcb94,65,b935d9da-973c-42e1-a37e-1c2ec9ff5012,2.00,1,100,1.59,Pepsi Gatorade 28z Q2 2025,mixAndMatchOffer
1bc19aa5-818a-43c1-860c-aecf3a764b0e,65,b5af5e36-b66f-414f-86b7-68de2f0c4dfa,2.00,1,100,1.59,Pepsi Gatorade 28z Q2 2025,mixAndMatchOffer
e4a2452c-eeb7-49cf-ac77-f2adb9553222,65,bfe03b4e-0802-465a-b78e-27f7a82586c7,2.00,1,100,1.59,Pepsi Gatorade 28z Q2 2025,mixAndMatchOffer
4b074116-929a-4435-a0e9-586c056dcbc0,65,5a09a661-b17d-4dd5-b011-8663ce7de98f,2.00,1,100,1.59,Pepsi Gatorade 28z Q2 2025,mixAndMatchOffer
2b805f9a-6131-4304-8850-5d12d17058e2,65,a9463e47-477b-4425-8daa-1518b3a62f3a,2.00,1,100,1.59,Pepsi Gatorade 28z Q2 2025,mixAndMatchOffer
45c667d6-0436-4452-8e83-1c43b58d9468,65,bf60d56b-c5d2-4a59-9215-bfbd23c01f8b,2.00,1,100,1.59,Pepsi Gatorade 28z Q2 2025,mixAndMatchOffer
47abfb5b-8673-4bfb-8692-73bdb0e8ad52,14,bb810330-6900-447a-8dad-9ced76395c3b,10.36,1,102,0.50,2024 RCI All Non Marb Buy 2,mixAndMatchOffer
