transaction_event_log_id,customer_dob_entry,duration,event_type,global_unique_identifier,verifone_transaction_sn
90654472,,128,FINANCIAL,1726116894000-660011418-0001425663,116055
90454473,,81,FINANCIAL,1726116894000-660011418-0001425708,116056
10161840,,11,FINANCIAL,1726116894000-660011418-0001426355,116057
90654474,,141,FINANCIAL,1726116894000-660011418-0001426397,116058
10161841,060104,10,FINANCIAL,1726116894000-660011418-0001426405,116059
90554475,,131,FINANCIAL,1726116894000-660011418-0001426439,116060
10161842,060104,10,FINANCIAL,1726116894000-660011418-0001426483,116061
90654476,,215,FINANCIAL,1726116894000-660011418-0001426591,116062
90454477,,191,FINANCIAL,1726116894000-660011418-0001426600,116063
90254478,,195,FINANCIAL,1726116894000-660011418-0001426608,116064
10161843,,14,FINANCIAL,1726116894000-660011418-0001426628,116065
90354479,,125,FINANCIAL,1726116894000-660011418-0001426637,116066
90254480,,78,FINANCIAL,1726116894000-660011418-0001426646,116067
90754481,,239,FINANCIAL,1726116894000-660011418-0001426677,116068
90354482,,54,FINANCIAL,1726116894000-660011418-0001426680,116069
10161844,,15,FINANCIAL,1726116894000-660011418-0001426688,116070
90654483,,94,FINANCIAL,1726116894000-660011418-0001426691,116071
90454484,,149,FINANCIAL,1726116894000-660011418-0001426706,116072
10161845,,16,FINANCIAL,1726116894000-660011418-0001426719,116073
10161846,,12,FINANCIAL,1726116894000-660011418-0001426741,116074
90454485,,141,FINANCIAL,1726116894000-660011418-0001426750,116075
10161847,,10,FINANCIAL,1726116894000-660011418-0001426751,116076
90554486,,292,FINANCIAL,1726116894000-660011418-0001426760,116077
10161848,,5,FINANCIAL,1726116894000-660011418-0001426773,116078
10161849,,9,FINANCIAL,1726116894000-660011418-0001426787,116079
10161850,,17,FINANCIAL,1726116894000-660011418-0001426795,116080
10161851,060104,30,FINANCIAL,1726116894000-660011418-0001426804,116081
10161852,060107,1,FINANCIAL,1726116894000-660011418-0001426831,116082
10161853,060104,16,FINANCIAL,1726116894000-660011418-0001426834,116083
10161854,060107,2,FINANCIAL,1726116894000-660011418-0001426849,116084
90354487,,128,FINANCIAL,1726116894000-660011418-0001426866,116085
90254488,,75,FINANCIAL,1726116894000-660011418-0001426876,116086
90154489,,178,FINANCIAL,1726116894000-660011418-0001426878,116087
10161855,060104,63,FINANCIAL,1726116894000-660011418-0001426882,116088
10161856,,8,FINANCIAL,1726116894000-660011418-0001426892,116089
90554490,,141,FINANCIAL,1726116894000-660011418-0001426893,116090
90754491,,170,FINANCIAL,1726116894000-660011418-0001426903,116091
10161857,060104,5,FINANCIAL,1726116894000-660011418-0001426904,116092
90654492,,125,FINANCIAL,1726116894000-660011418-0001426906,116093
10161858,060104,33,FINANCIAL,1726116894000-660011418-0001426914,116094
90454493,,48,FINANCIAL,1726116894000-660011418-0001426945,116095
90654494,,129,FINANCIAL,1726116894000-660011418-0001426953,116096
90354495,,64,FINANCIAL,1726116894000-660011418-0001426956,116097
90254496,,88,FINANCIAL,1726116894000-660011418-0001426957,116098
