line_item_uuid,transaction_id,upc_id,category_name,category_number,department,department_name,department_type,has_birthday_verification,has_category_override,has_department_override,has_loyalty_line_discount,has_mix_match_promotion,has_plu_override,is_ebt_eligible,is_plu_item,line_total,network_code,quantity,transaction_line_type,unit_price,upc_description,upc_entry_type,upc_modifier,sales_transaction_unique_id,car_wash_package,car_wash_code,car_wash_promo_type,car_wash_promo_amount,is_fuel_only,is_fuel_sale,is_lottery_payout,is_line_void,has_special_discount,is_transaction_void
5e61453d-dc2c-4996-b7f9-f6505110b646,9060438,,FUEL,1,1,Unleaded-Regular,fuel,f,t,t,f,f,f,f,f,40.00,1,12.907,postFuel,3.10,Regular CA #06,,,1726116964000-660040656-0001966570,,,,,t,t,f,f,t,f
98a975b0-959b-49ee-9548-45a2c595ec9c,9013163,,FUEL,1,1,Unleaded-Regular,fuel,f,t,t,f,f,f,f,f,4.51,1,1.455,postFuel,3.10,Regular CR #01,,,1726116964000-660040656-0001971097,,,,,t,t,f,f,t,f
5a204a92-6aa3-4649-a272-dc7e2eac2b29,9046871,,FUEL,1,1,Unleaded-Regular,fuel,f,t,t,f,f,f,f,f,7.13,1,2.301,postFuel,3.10,Regular CR #04,,,1726116964000-660040656-0001971245,,,,,t,t,f,f,t,f
543baecd-5a6c-4bda-8fdb-b5804ded5d31,9046872,,FUEL,1,1,Unleaded-Regular,fuel,f,t,t,f,f,f,f,f,3.00,1,0.968,postFuel,3.10,Regular CR #04,,,1726116964000-660040656-0001971248,,,,,t,t,f,f,t,f
e51bcba1-faf3-4b83-8f5e-cf366285a0c7,9059397,,FUEL,1,3,Unleaded-Premium,fuel,f,t,t,f,f,f,f,f,54.07,3,12.877,postFuel,4.20,Super CA #05,,,1726116964000-660040656-0001971335,,,,,t,t,f,f,t,f
862d0e53-66b9-4028-aaf5-513b729d88b4,9031201,,FUEL,1,1,Unleaded-Regular,fuel,f,t,t,f,f,f,f,f,20.00,1,6.67,postFuel,3.00,REGULAR CA #03,,,1730350498000-660038027-0001206782,,,,,t,t,f,f,t,f
9f9fe3a9-ace4-43b7-a187-af769825c49c,9019750,,FUEL,1,1,Unleaded-Regular,fuel,f,t,t,f,f,f,f,f,50.19,1,16.737,postFuel,3.00,REGULAR CR #01,,,1730350498000-660038027-0001207011,,,,,t,t,f,f,t,f
c98cb949-e072-40e3-8028-5ad817ec1b31,9065809,,FUEL,1,1,Unleaded-Regular,fuel,f,t,t,f,f,f,f,f,31.01,1,10.339,postFuel,3.00,REGULAR CR #06,,,1730350498000-660038027-0001207324,,,,,t,t,f,f,t,f
068500b8-4888-4fd3-8e95-5b02ec9b3b6f,9083103,,FUEL,1,4,Diesel,fuel,f,t,t,f,f,f,f,f,25.62,19,7.537,postFuel,3.40,DIESEL CR #08,,,1730350498000-660038027-0001207734,,,,,t,t,f,f,t,f
d0f3f44f-ec5a-405e-a84c-5837857f682b,1028213,366715970633,MERCHANDISE,10,47,Health & Beauty Care,Inside Sales,f,t,t,f,f,t,f,t,3.99,540,1,plu,3.99,LIL DRUG BENADRYL ALLERGY RELI,scanned,0,1730350498000-660038027-0001207748,,,,,f,f,f,f,f,f
6d2c3d35-fcc9-48fc-9bcd-3e8de3e6f483,1028213,12000110443,BEVERAGE MERCHANDISE,9,28,Energy Drinks,Inside Sales,f,t,t,f,f,t,t,t,2.79,420,1,plu,2.79,MOUNTAIN DEW KICKSTART ORANGE CITRUS 16,scanned,0,1730350498000-660038027-0001207748,,,,,f,f,f,f,f,f
4b39788f-2805-490f-a8ba-8ae18081969c,1028214,12000221767,BEVERAGE MERCHANDISE,9,29,Ready-To-Drink Coffee,Inside Sales,f,t,t,f,f,t,t,t,4.19,420,1,plu,4.19,STARBUCKS DOUBLESHOT CARAMEL 15Z CAN EA,scanned,0,1730350498000-660038027-0001207759,,,,,f,f,f,f,f,f
e0e3fc05-b9c7-491a-b981-d3a6307eb791,1028215,28400769204,EDIBLE MERCHANDISE,8,35,Other Salty Snacks,Inside Sales,f,t,t,f,f,t,t,t,2.69,440,1,plu,2.69,FL CHEETOS XTRA FLAMIN HOT XXVL,scanned,0,1730350498000-660038027-0001207768,,,,,f,f,f,f,f,f
f8ba83e2-d036-42b9-85ca-2fc9ee2df288,1028215,70137215653,OTHER TOBACCO PRODUCTS,5,16,Cigars,Inside Sales,t,t,t,f,f,t,f,t,1.69,410,1,plu,1.69,BLACK AND MILD NICE SWEET PT,scanned,0,1730350498000-660038027-0001207768,,,,,f,f,f,f,f,f
fda8349d-34c9-4236-95a0-214dd750b087,9031202,,FUEL,1,1,Unleaded-Regular,fuel,f,t,t,f,f,f,f,f,38.11,1,12.707,postFuel,3.00,REGULAR CR #03,,,1730350498000-660038027-0001207804,,,,,t,t,f,f,t,f
b1ec5e7f-ddaf-4832-b356-c736b9e18ffe,1028217,12000202384,BEVERAGE MERCHANDISE,9,26,Juice/Juice Drinks,Inside Sales,f,t,t,f,t,t,t,t,2.19,420,1,plu,2.19,PEPSI LIPTON BRISK TEA 1LT EA,scanned,0,1730350498000-660038027-0001207823,,,,,f,f,f,f,f,f
f067d320-b031-448d-a2ea-3405832dd3a9,1028217,12000202384,BEVERAGE MERCHANDISE,9,26,Juice/Juice Drinks,Inside Sales,f,f,f,f,t,f,t,t,2.19,420,1,plu,2.19,PEPSI LIPTON BRISK TEA 1LT EA,scanned,0,1730350498000-660038027-0001207823,,,,,f,f,f,f,f,f
7ede2cde-b1dc-48f5-8491-0c66ba606b51,1028218,611269818994,BEVERAGE MERCHANDISE,9,28,Energy Drinks,Inside Sales,f,t,t,f,t,t,t,t,3.89,420,1,plu,3.89,RED BULL ORIGINAL 12Z CAN EA,scanned,0,1730350498000-660038027-0001207870,,,,,f,f,f,f,f,f
7af048de-312a-4605-bc27-d7a4f0067c55,1028218,611269818994,BEVERAGE MERCHANDISE,9,28,Energy Drinks,Inside Sales,f,f,f,f,t,f,t,t,3.89,420,1,plu,3.89,RED BULL ORIGINAL 12Z CAN EA,scanned,0,1730350498000-660038027-0001207870,,,,,f,f,f,f,f,f
2094067b-e8b5-46fc-a520-c24b8cfa3f47,1028219,12000001314,BEVERAGE MERCHANDISE,9,24,Carbonated Soft Drinks,Inside Sales,f,t,t,f,t,t,t,t,2.69,420,1,plu,2.69,MOUNTAIN DEW 20Z BOTTLE EA,scanned,0,1730350498000-660038027-0001207885,,,,,f,f,f,f,f,f
be185ad8-116a-4f97-8a63-2ca9552e20f5,1028219,12000001314,BEVERAGE MERCHANDISE,9,24,Carbonated Soft Drinks,Inside Sales,f,f,f,f,t,f,t,t,2.69,420,1,plu,2.69,MOUNTAIN DEW 20Z BOTTLE EA,scanned,0,1730350498000-660038027-0001207885,,,,,f,f,f,f,f,f
