line_item_tax_uuid,line_item_uuid,tax_line_amount,tax_line_category,tax_line_rate,tax_line_sys_id,transaction_id,sales_transaction_unique_id
9d62b337-60bb-4396-b2ce-279014806986,0933250a-63d1-424f-a43c-ff1db855c914,3.89,"State, County and Local Sales Tax",6.4000,2,9013117,1726116964000-660040656-0001966590
b3f6e3c6-f194-47d4-a648-e654d78295ac,fe9f76b1-bee7-483b-b119-94e763d692af,3.89,"State, County and Local Sales Tax",6.4000,2,1021129,1726116964000-660040656-0001966591
dcd07ce9-55d4-4213-a50c-0b4a136d1080,a697b1e8-9e17-4a61-a657-d7226c200175,4.49,"State, County and Local Sales Tax",6.4000,2,1021134,1726116964000-660040656-0001966634
50821755-4049-4abf-86e5-289ba92dadb9,163536cb-8a84-4222-b1ef-4c575b69303b,1.99,State and County Sales Tax,5.9000,1,1021136,1726116964000-660040656-0001966643
88a7388d-28e0-434b-8f09-10a0539fe2ff,e5bb17f5-f000-4039-af88-7e52bc0bb1fc,4.19,State and County Sales Tax,5.9000,1,1021137,1726116964000-660040656-0001966651
c38ce08c-2ba8-4d4c-b24d-72507021c46d,a4d763bd-ed87-44ad-9ccc-feec1ba8e5bc,12.29,State and County Sales Tax,5.9000,1,1021139,1726116964000-660040656-0001966676
b3b60edf-8b42-4551-8bff-d6940c2d4ebd,98666a87-2041-44c3-9701-2d912a05a96c,11.32,State and County Sales Tax,5.9000,1,1021139,1726116964000-660040656-0001966676
1eef939d-db48-452e-bd02-539cb2df2077,82e6a6d1-33f6-4ccf-ae5e-e66777f7d7ad,11.32,State and County Sales Tax,5.9000,1,1021139,1726116964000-660040656-0001966676
8f5b654e-fe53-4d0c-a35c-7f6d0f766523,7db18f58-9c89-4fc1-8aab-64b2b2a211db,1.49,"State, County and Local Sales Tax",6.4000,2,1021140,1726116964000-660040656-0001966685
0f49bb58-5230-41a8-a64e-9b31f7237676,48941c03-fa54-4aba-91ec-58277b8bac4c,5.69,State and County Sales Tax,5.9000,1,1021140,1726116964000-660040656-0001966685
3fc47031-c134-4764-8f69-e5f95fa4f7fa,515c7627-38b1-4144-b1da-efa12b8333bd,5.69,State and County Sales Tax,5.9000,1,1021140,1726116964000-660040656-0001966685
069256b6-1039-4496-b15a-f485ff20c718,8f16cd20-45eb-4c96-b90c-7f96a118cccb,2.00,"State, County and Local Sales Tax",6.4000,2,1021143,1726116964000-660040656-0001966704
00cb90ed-f551-4a74-bbca-04f1ffd09439,55e1d3b6-62fd-4de6-bc85-e3a3dfe54286,2.00,"State, County and Local Sales Tax",6.4000,2,1021143,1726116964000-660040656-0001966704
288c43d8-3327-43ce-abc0-91e37c9b76a1,f36d3f44-a765-44d8-b902-c1ce323358da,2.00,"State, County and Local Sales Tax",6.4000,2,1021143,1726116964000-660040656-0001966704
8c2ab42c-4282-4cbe-bc6d-868a08eb92e7,6681f677-3929-47b2-a6d3-f4c5aae1df00,3.09,"State, County and Local Sales Tax",6.4000,2,1021144,1726116964000-660040656-0001966712
2b59a436-74d5-4aa1-80de-d3adc97c3be5,7163596a-8a89-46c0-b6d5-517e8434e23c,5.69,State and County Sales Tax,5.9000,1,1021148,1726116964000-660040656-0001966774
e7ff3a40-d694-4d3c-9e0d-68afc7bce4b0,15c842e3-3000-415c-b964-f3556bb02d11,3.99,State and County Sales Tax,5.9000,1,1021149,1726116964000-660040656-0001966781
82d1ce73-006a-49ed-9c0f-d7b369982b0a,49063646-0568-4b1d-9728-84320d9bd46e,3.99,State and County Sales Tax,5.9000,1,1021149,1726116964000-660040656-0001966781
04052287-0904-476a-95ad-1ab7171549b5,3bf731e3-4420-4fb8-a372-6d7d2099dcce,3.99,State and County Sales Tax,5.9000,1,1021149,1726116964000-660040656-0001966781
7a24b493-e143-4948-8aca-580b52c3082d,f3332ae4-774c-4caa-aa5b-b2518075ed0f,2.99,"State, County and Local Sales Tax",6.4000,2,1021151,1726116964000-660040656-0001966808
52686829-1953-41e4-9074-57b57ad7c0db,87eca103-07b6-4193-ace6-f534cb0eff74,4.45,State and County Sales Tax,5.9000,1,1021151,1726116964000-660040656-0001966808
